Rank,Type,Institute,Avg CSE General-GN close,2023,2024,2025
1,NIT,"National Institute of Technology, Tiruchirappalli",1394,1509,1224,1449
2,NIT,"National Institute of Technology Karnataka, Surathkal",1809,1984,1615,1827
3,NIT,"National Institute of Technology, Warangal",2336,2413,2186,2409
4,NIT,"National Institute of Technology, Rourkela",3386,3786,2940,3431
5,NIT,Motilal Nehru National Institute of Technology Allahabad,4521,4777,4191,4594
6,NIT,National Institute of Technology Calicut,4987,5256,4482,5222
7,NIT,Malaviya National Institute of Technology Jaipur,5074,4909,4711,5601
8,NIT,"Visvesvaraya National Institute of Technology, Nagpur",6414,7087,5795,6359
9,NIT,"National Institute of Technology, Kurukshetra",6518,,6000,7037
10,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",7661,7741,7113,8130
11,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,8443,7757,8044,9527
12,NIT,National Institute of Technology Delhi,8533,9930,8018,7651
13,NIT,"National Institute of Technology, Jamshedpur",8683,9204,7944,8902
14,NIT,Maulana Azad National Institute of Technology Bhopal,9150,9370,8830,9249
15,NIT,National Institute of Technology Durgapur,9557,10070,8765,9836
16,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",11079,11017,10957,11262
17,NIT,National Institute of Technology Hamirpur,12416,12426,12236,12586
18,NIT,"National Institute of Technology, Silchar",12471,12818,11930,12665
19,NIT,National Institute of Technology Goa,12918,12604,12511,13640
20,NIT,National Institute of Technology Raipur,13170,12773,13177,13559
21,NIT,National Institute of Technology Patna,14467,13964,14442,14996
22,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",14709,14584,14757,14787
23,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",15037,13711,14635,16765
24,GFTI,"Birla Institute of Technology, Mesra, Ranchi",17714,16401,18030,18711
25,NIT,"National Institute of Technology, Andhra Pradesh",18001,17272,18548,18183
26,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",18236,16986,18654,19069
27,NIT,"National Institute of Technology, Uttarakhand",18326,18447,18039,18491
28,NIT,National Institute of Technology Puducherry,18526,17305,18515,19758
29,IIIT,Indian Institute of Information Technology (IIIT) Pune,18744,16952,18252,21029
30,GFTI,"International Institute of Information Technology, Naya Raipur",18898,19764,18080,18851
31,NIT,National Institute of Technology Agartala,20804,20102,20298,22013
32,NIT,National Institute of Technology Meghalaya,21096,19175,20039,24074
33,IIIT,Indian Institute of Information Technology Guwahati,21395,20625,20821,22739
34,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",22888,21987,21838,24840
35,NIT,"National Institute of Technology, Srinagar",23608,22814,21839,26171
36,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",24704,22296,24416,27400
37,IIIT,Indian Institute of Information Technology Bhopal,25169,24413,23999,27095
38,IIIT,Indian Institute of Information Technology Surat,25706,23303,25108,28707
39,NIT,National Institute of Technology Sikkim,26331,24093,28284,26616
40,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",26887,27829,26444,26387
41,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,27922,27288,27356,29123
42,GFTI,Shri G. S. Institute of Technology and Science Indore,27947,,,27947
43,IIIT,Indian Institute of Information Technology Tiruchirappalli,28842,28888,29303,28335
44,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",29024,25572,28994,32506
45,GFTI,"Jawaharlal Nehru University, Delhi",29286,28520,27936,31402
46,NIT,National Institute of Technology Arunachal Pradesh,29403,29087,28514,30607
47,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",29621,27059,28335,33468
48,GFTI,"International Institute of Information Technology, Bhubaneswar",31011,28199,31001,33833
49,NIT,"National Institute of Technology, Manipur",31118,29644,30611,33098
50,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",32966,32990,32761,33147
51,GFTI,University of Hyderabad,33443,30684,33350,36294
52,NIT,National Institute of Technology Nagaland,33795,30401,31391,39594
53,NIT,"National Institute of Technology, Mizoram",34089,31336,33181,37751
54,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,34351,32560,32429,38063
55,IIIT,"Indian institute of information technology, Raichur, Karnataka",34770,33268,34282,36760
56,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",35496,34862,32396,39231
57,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,36070,31998,35996,40217
58,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,37712,34597,37419,41121
59,IIIT,"Indian Institute of Information Technology, Agartala",39617,35192,39356,44304
60,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",40447,37195,39991,44154
61,IIIT,Indian Institute of Information Technology Bhagalpur,40826,38522,39481,44476
62,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",47381,47381,,
63,GFTI,"Birla Institute of Technology, Patna Off-Campus",48378,49849,45956,49330
64,GFTI,"Puducherry Technological University, Puducherry",50252,45508,48768,56480
65,GFTI,"Central University of Rajasthan, Rajasthan",50484,44886,49021,57546
66,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",51218,,,51218
67,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,51647,46351,50509,58080
68,GFTI,"Assam University, Silchar",52897,48929,50836,58926
69,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",54226,54388,50774,57517
70,GFTI,"Central institute of Technology Kokrajar, Assam",55583,53251,58033,55464
71,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",56613,51980,55764,62096
72,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",58517,54313,56762,64476
73,GFTI,Central University of Haryana,58528,54901,55902,64782
74,GFTI,Sant Longowal Institute of Engineering and Technology,59237,54514,58940,64256
75,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",60700,,,60700
76,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",63949,,,63949
77,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",65360,65013,61593,69474
78,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",65778,,,65778
79,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",66116,58070,65174,75104
80,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",67933,69873,63665,70262
81,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",72560,66702,72273,78706
82,GFTI,Central University of Jammu,73050,69036,69094,81019
83,GFTI,CU Jharkhand,74114,,,74114
