Rank,Type,Institute,Branch,Avg Gen-PwD close,Avg OBC-PwD close
1,GFTI,"School of Planning & Architecture, New Delhi",Planning,29,23
2,NIT,"National Institute of Technology, Tiruchirappalli",Computer Science and Engineering,36,22
3,NIT,"National Institute of Technology Karnataka, Surathkal",Computer Science and Engineering,,42
4,GFTI,"School of Planning & Architecture, New Delhi",Architecture,45,25
5,NIT,National Institute of Technology Calicut,Architecture,50,29
6,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering,62,46
7,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering ( Artificial Intelligence & Data Science),64,68
8,NIT,"National Institute of Technology, Tiruchirappalli",Architecture,,76
9,GFTI,School of Planning & Architecture: Vijayawada,Architecture,86,
10,GFTI,"School of Planning & Architecture, Bhopal",Architecture,97,
11,NIT,National Institute of Technology Calicut,Computer Science and Engineering,100,98
12,NIT,"National Institute of Technology Karnataka, Surathkal",Electrical and Electronics Engineering,,107
13,NIT,"National Institute of Technology, Kurukshetra",Information Technology,,111
14,NIT,"National Institute of Technology Karnataka, Surathkal",Information Technology,114,
15,GFTI,School of Planning & Architecture: Vijayawada,Planning,118,
16,NIT,Maulana Azad National Institute of Technology Bhopal,Architecture,119,
17,NIT,"National Institute of Technology, Rourkela",Computer Science and Engineering,120,47
18,NIT,"National Institute of Technology, Kurukshetra",Computer Science and Engineering,120,
19,NIT,"National Institute of Technology, Tiruchirappalli",Electronics and Communication Engineering,131,68
20,NIT,"National Institute of Technology, Kurukshetra",Architecture and Planning,136,
21,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Architecture,138,87
22,NIT,Malaviya National Institute of Technology Jaipur,Computer Science and Engineering,138,84
23,NIT,Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering,140,86
24,NIT,"National Institute of Technology Karnataka, Surathkal",Artificial Intelligence,143,
25,NIT,Malaviya National Institute of Technology Jaipur,Architecture,162,
26,NIT,"National Institute of Technology, Rourkela",Electronics and Communication Engineering,176,
27,NIT,"National Institute of Technology, Kurukshetra",Architecture,184,
28,NIT,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,,190
29,NIT,"National Institute of Technology, Kurukshetra",Computer Engineering,199,108
30,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering,203,
31,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,212,212
32,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science and Engineering,214,115
33,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science and Engineering,233,146
34,NIT,National Institute of Technology Calicut,Electronics and Communication Engineering,242,152
35,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology,249,188
36,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Artificial Intelligence,264,312
37,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology-Business Informatics,270,221
38,NIT,Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering,283,140
39,NIT,"National Institute of Technology, Tiruchirappalli",Electrical and Electronics Engineering,287,
40,NIT,National Institute of Technology Durgapur,Computer Science and Engineering,289,142
41,NIT,"National Institute of Technology, Jamshedpur",Computer Science and Engineering,294,115
42,NIT,"National Institute of Technology, Silchar",Computer Science and Engineering,300,201
43,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics and Computing,,306
44,NIT,National Institute of Technology Delhi,Artificial Intelligence and Data Science,336,
45,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering (VLSI Design and Technology),340,139
46,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science and Engineering,347,174
47,NIT,"National Institute of Technology, Kurukshetra",Artificial Intelligence and Machine Learning,349,161
48,NIT,Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering,355,204
49,NIT,"National Institute of Technology, Jamshedpur",Electronics and Communication Engineering,,358
50,NIT,"National Institute of Technology, Tiruchirappalli",Mechanical Engineering,365,196
51,NIT,"National Institute of Technology, Kurukshetra",Electronics and Communication Engineering,366,183
52,NIT,National Institute of Technology Delhi,Electronics and Communication Engineering,382,
53,IIIT,Indian Institute of Information Technology Lucknow,Computer Science,396,349
54,IIIT,"Indian Institute of Information Technology, Allahabad",Electronics and Communication Engineering,400,224
55,IIIT,Indian Institute of Information Technology Tiruchirappalli,Electronics and Communication Engineering (VLSI Design),,406
56,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,423,202
57,NIT,National Institute of Technology Raipur,Computer Science and Engineering,427,209
58,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,429,250
59,NIT,Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,437,390
60,NIT,National Institute of Technology Durgapur,B.Tech in Mathematics and Computing,,439
61,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electronics and Communication Engineering,443,232
62,NIT,National Institute of Technology Patna,Computer Science and Engineering with Specialization in Cyber Security,,446
63,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Aerospace Engineering,,446
64,NIT,"National Institute of Technology, Warangal",Electrical and Electronics Engineering,454,244
65,NIT,National Institute of Technology Calicut,Electrical and Electronics Engineering,464,263
66,NIT,"National Institute of Technology, Tiruchirappalli",Civil Engineering,471,329
67,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Engineering,471,
68,NIT,National Institute of Technology Puducherry,Computer Science and Engineering,472,104
69,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,473,
70,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,476,290
71,NIT,"National Institute of Technology, Kurukshetra",Mathematics and Computing,487,236
72,NIT,National Institute of Technology Patna,Computer Science and Engineering,491,235
73,NIT,"National Institute of Technology, Rourkela",Electrical Engineering,493,228
74,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Business,501,475
75,NIT,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,506,522
76,NIT,"National Institute of Technology, Andhra Pradesh",Computer Science and Engineering,506,222
77,IIIT,Indian Institute of Information Technology Lucknow,Information Technology,509,608
78,NIT,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,516,
79,NIT,National Institute of Technology Durgapur,Electronics and Communication Engineering,519,
80,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering with Major in Artificial Intelligence,528,349
81,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,534,278
82,NIT,"National Institute of Technology, Kurukshetra",Civil Engineering,537,1108
83,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and Communication Engineering,555,394
84,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,555,
85,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science and Engineering,556,310
86,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT),574,433
87,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,585,631
88,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,588,548
89,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,,593
90,NIT,"National Institute of Technology Karnataka, Surathkal",Mechanical Engineering,599,349
91,NIT,National Institute of Technology Delhi,Electrical Engineering,600,401
92,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Computer Science and Engineering,618,546
93,NIT,Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,627,330
94,NIT,"National Institute of Technology, Warangal",Mechanical Engineering,633,
95,NIT,"National Institute of Technology, Rourkela",Civil Engineering,634,673
96,NIT,National Institute of Technology Patna,Artificial Intelligence and Data Science,638,
97,NIT,National Institute of Technology Raipur,Information Technology,642,
98,NIT,National Institute of Technology Hamirpur,Mathematics and Computing,644,470
99,NIT,"National Institute of Technology, Andhra Pradesh",Electronics and Communication Engineering,650,596
100,NIT,"National Institute of Technology, Jamshedpur",Electrical Engineering,664,656
101,NIT,"National Institute of Technology, Uttarakhand",Computer Science and Engineering,666,227
102,GFTI,"Jawaharlal Nehru University, Delhi",Computer Science and Engineering,669,490
103,NIT,National Institute of Technology Agartala,Computer Science and Engineering,673,427
104,NIT,"National Institute of Technology, Tiruchirappalli",Instrumentation and Control Engineering,681,399
105,NIT,"National Institute of Technology, Silchar",Electronics and Communication Engineering,683,383
106,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,,685
107,IIIT,Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering,702,632
108,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Artificial Intelligence and Data Science,702,530
109,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and MBA,702,709
110,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Artificial Intelligence,704,1143
111,NIT,Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,712,
112,NIT,National Institute of Technology Patna,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,,726
113,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Computer Science and Engineering,735,421
114,IIIT,Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering ( Artificial Intelligence & Data Science),743,357
115,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Information Technology,747,452
116,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and Communication Engineering,747,346
117,NIT,National Institute of Technology Puducherry,Electronics and Communication Engineering,748,334
118,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,762,
119,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Artificial lntelligence and Machine Learning),782,477
120,NIT,Malaviya National Institute of Technology Jaipur,Electrical Engineering,783,489
121,NIT,"National Institute of Technology, Warangal",Civil Engineering,787,
122,NIT,Malaviya National Institute of Technology Jaipur,Civil Engineering,789,
123,NIT,National Institute of Technology Raipur,Electronics and Communication Engineering,790,378
124,NIT,National Institute of Technology Delhi,Civil Engineering,791,518
125,NIT,"National Institute of Technology, Srinagar",Computer Science and Engineering,797,418
126,NIT,"National Institute of Technology, Rourkela",Mechanical Engineering,799,454
127,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Computer Science and Engineering,804,419
128,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Computer Science and Engineering,813,732
129,NIT,"National Institute of Technology, Warangal",Chemical Engineering,814,567
130,NIT,"National Institute of Technology, Tiruchirappalli",Metallurgical and Materials Engineering,817,
131,NIT,National Institute of Technology Goa,Electronics and Communication Engineering,824,
132,NIT,National Institute of Technology Delhi,Mechanical Engineering,825,
133,NIT,National Institute of Technology Patna,Electronics and Communication Engineering,829,601
134,GFTI,"International Institute of Information Technology, Naya Raipur",Data Science and Artificial Intelligence,832,
135,GFTI,University of Hyderabad,Computer Science and Engineering,846,587
136,GFTI,"Puducherry Technological University, Puducherry",Computer Science and Engineering,,846
137,IIIT,Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering,850,478
138,NIT,"National Institute of Technology, Andhra Pradesh",Bio Technology,,852
139,NIT,Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,852,508
140,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",Computer Science and Engineering,862,727
141,NIT,"National Institute of Technology, Warangal",Bio Technology,871,561
142,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Cyber Security),876,
143,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,879,453
144,NIT,"National Institute of Technology, Kurukshetra",ROBOTICS & AUTOMATION,880,424
145,NIT,National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,882,
146,NIT,National Institute of Technology Raipur,Electrical Engineering,895,
147,NIT,National Institute of Technology Calicut,Mechanical Engineering,916,428
148,NIT,National Institute of Technology Puducherry,Civil Engineering,919,
149,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mechanical Engineering,924,654
150,NIT,National Institute of Technology Sikkim,Computer Science and Engineering,925,
151,NIT,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,926,478
152,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Artificial Intelligence and Machine Learning,939,1290
153,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering,941,666
154,GFTI,University of Hyderabad,Materials Engineering,946,1036
155,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electrical and Electronics Engineering,949,490
156,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering,965,1393
157,NIT,National Institute of Technology Durgapur,Civil Engineering,,970
158,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,979,591
159,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Data Science),1002,754
160,NIT,"National Institute of Technology, Kurukshetra",Industrial Internet of Things,1015,599
161,NIT,National Institute of Technology Calicut,Chemical Engineering,1016,588
162,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Artificial Intelligence and Data Science,1016,1180
163,NIT,"National Institute of Technology, Tiruchirappalli",Production Engineering,1018,847
164,NIT,"National Institute of Technology, Srinagar",Information Technology,1025,510
165,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,1035,
166,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Artificial Intelligence and Machine Learning),1038,
167,NIT,"National Institute of Technology, Andhra Pradesh",Mechanical Engineering,,1046
168,NIT,National Institute of Technology Goa,Mechanical Engineering,,1061
169,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and VLSI Engineering,1072,632
170,NIT,"National Institute of Technology Karnataka, Surathkal",Metallurgical and Materials Engineering,1075,524
171,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electrical Engineering,1081,611
172,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),1081,1590
173,GFTI,"International Institute of Information Technology, Naya Raipur",Computer Science and Engineering,1084,1042
174,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),1092,833
175,NIT,Malaviya National Institute of Technology Jaipur,Mechanical Engineering,1099,
176,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering,1102,604
177,NIT,National Institute of Technology Sikkim,Electronics and Communication Engineering,,1105
178,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and VLSI Engineering,1105,
179,GFTI,"Puducherry Technological University, Puducherry",Mechatronics Engineering,,1120
180,NIT,National Institute of Technology Goa,Electrical and Electronics Engineering,1128,741
181,NIT,Maulana Azad National Institute of Technology Bhopal,Civil Engineering,1129,969
182,NIT,"National Institute of Technology, Manipur",Computer Science and Engineering,1132,675
183,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,1135,
184,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Data Science and Analytics),1137,823
185,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electronics and Telecommunication Engineering,1140,613
186,NIT,"National Institute of Technology, Manipur",Electronics and Communication Engineering,,1141
187,NIT,National Institute of Technology Calicut,Energy Engineering,1146,630
188,NIT,"National Institute of Technology, Jamshedpur",Mechanical Engineering,1148,970
189,NIT,National Institute of Technology Calicut,Bio Technology,1163,674
190,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,1166,
191,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering,1170,1211
192,NIT,Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,1182,609
193,NIT,National Institute of Technology Agartala,Production Engineering,,1183
194,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,1184,
195,IIIT,Indian Institute of Information Technology Tiruchirappalli,Electronics and Communication Engineering,1185,1104
196,IIIT,"Indian institute of information technology, Raichur, Karnataka",Computer Science and Engineering,1190,641
197,NIT,National Institute of Technology Durgapur,Electrical Engineering,1210,723
198,NIT,National Institute of Technology Agartala,Electronics and Communication Engineering,1212,824
199,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,1233,761
200,NIT,Malaviya National Institute of Technology Jaipur,Chemical Engineering,1258,858
201,NIT,National Institute of Technology Arunachal Pradesh,Electrical Engineering,,1269
202,NIT,National Institute of Technology Calicut,Civil Engineering,1286,660
203,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Information Technology,1290,1224
204,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Electronics and Communication Engineering,1291,723
205,NIT,National Institute of Technology Puducherry,Electrical and Electronics Engineering,1292,
206,IIIT,Indian Institute of Information Technology Guwahati,Computer Science and Engineering,1293,964
207,NIT,National Institute of Technology Patna,Electrical Engineering,1293,933
208,NIT,National Institute of Technology Meghalaya,Electrical and Electronics Engineering,,1305
209,NIT,"National Institute of Technology, Mizoram",Computer Science and Engineering,1308,
210,NIT,"National Institute of Technology, Andhra Pradesh",Electrical and Electronics Engineering,1311,758
211,NIT,National Institute of Technology Arunachal Pradesh,Civil Engineering,,1312
212,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,1328,866
213,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Science and Engineering,1343,942
214,NIT,National Institute of Technology Sikkim,Electrical and Electronics Engineering,,1344
215,NIT,"National Institute of Technology, Jamshedpur",Civil Engineering,1345,
216,NIT,National Institute of Technology Raipur,Mechanical Engineering,1363,
217,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering,1366,1041
218,NIT,"National Institute of Technology, Manipur",Electrical Engineering,,1368
219,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,1371,
220,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Electronics and Communication Engineering,1392,688
221,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Cyber Security,1393,934
222,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Engineering,1396,
223,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Computer Science and Engineering,1400,1042
224,IIIT,"Indian institute of information technology, Raichur, Karnataka",Artificial Intelligence and Data Science,1414,962
225,NIT,"National Institute of Technology, Uttarakhand",Civil Engineering,1429,
226,NIT,"National Institute of Technology, Silchar",Electronics and Instrumentation Engineering,1439,
227,NIT,National Institute of Technology Patna,Electronics Engineering (VLSI Design and Technology),1449,1151
228,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Security),1450,1316
229,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Computer Science and Engineering,1459,1205
230,GFTI,CU Jharkhand,Integrated B. Tech.- M. Tech in Metallurgical & Materials Engineering,,1461
231,NIT,"National Institute of Technology, Silchar",Mechanical Engineering,1477,1180
232,GFTI,"Jawaharlal Nehru University, Delhi",Electronics and Communication Engineering,1482,1060
233,NIT,National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,,1485
234,NIT,"National Institute of Technology, Warangal",Metallurgical and Materials Engineering,1494,743
235,NIT,"National Institute of Technology, Silchar",Electrical Engineering,1497,747
236,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Electronics and Communication Engineering with specialization in Design and Manufacturing,1509,558
237,NIT,"National Institute of Technology, Mizoram",Electrical Engineering,,1512
238,NIT,National Institute of Technology Arunachal Pradesh,Mechanical Engineering,,1521
239,NIT,"National Institute of Technology, Andhra Pradesh",Civil Engineering,1523,1001
240,NIT,"National Institute of Technology, Rourkela",Bio Technology,1531,
241,NIT,National Institute of Technology Calicut,Materials Science and Engineering,1540,
242,NIT,National Institute of Technology Hamirpur,Chemical Engineering,1550,1796
243,NIT,National Institute of Technology Patna,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,1563,
244,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering (Cyber Security),1565,
245,NIT,National Institute of Technology Calicut,Production Engineering,1574,822
246,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Data Science and Artificial Intelligence,1577,1215
247,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics,1578,1370
