Priority,Type,Institute,BranchCode,Branch,Reach,Reason
120,NIT,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~539)."
121,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),No-data,"Top IIIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD-cutoff history."
122,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Good,"Top IIIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. likely (~679)."
123,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,SAFE,"Top-15 NIT, near Hyderabad. Chemical — core; lab/process. SAFE (closes ~1179)."
124,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),No-data,"Top-15 NIT, near Hyderabad. Chemical — core; lab/process. no PwD-cutoff history."
125,NIT,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Good,"Top-15 NIT, far, brand-justified. Electronics — circuit branch. likely (~1439)."
126,NIT,"National Institute of Technology, Warangal",4109,Civil Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. Civil — core, more field-oriented (weigh mobility). dream — closes ~531, free to list on top."
127,NIT,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. likely (~531)."
128,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,SAFE,"Top IIIT, far, brand-justified. CSE — best placements & most accessible for his condition. SAFE (closes ~1201)."
129,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~3780)."
130,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Good,"Top IIIT, South/Central. ECE — strong circuit branch, software-convertible. likely (~672)."
131,NIT,"National Institute of Technology, Silchar",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~769)."
132,NIT,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. SAFE (closes ~840)."
133,NIT,National Institute of Technology Calicut,4109,Civil Engineering,Borderline,"Top-5 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). borderline (~434)."
134,NIT,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,SAFE,"Top-5 NIT, South/Central. core/other — backup. SAFE (closes ~2228)."
135,NIT,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. likely (~641)."
136,NIT,"National Institute of Technology, Rourkela",4169,Food Process Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~40010, free to list on top."
137,NIT,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. dream — closes ~13259, free to list on top."
138,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,SAFE,"Top-15 NIT, far, brand-justified. Production — core; decent at top NITs. SAFE (closes ~3431)."
139,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Good,"Top IIIT, near Hyderabad. ECE-VLSI — chip/embedded, desk-based. likely (~1371)."
140,GFTI,University of Hyderabad,5314,Computer Science and Engineering,No-data,"Premium GFTI, near Hyderabad. CSE — best placements & most accessible for his condition. no PwD-cutoff history."
141,IIIT,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,No-data,"Top IIIT, South/Central. AI/Data Science — high-demand software track. no PwD-cutoff history."
142,NIT,National Institute of Technology Durgapur,4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~961)."
143,IIIT,Indian Institute of Information Technology Lucknow,4146,Information Technology,Out,"Top IIIT, far, brand-justified. IT — software-default, desk-based. dream — closes ~236, free to list on top."
144,NIT,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Good,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. likely (~750)."
145,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,SAFE,"Top-15 NIT, near Hyderabad. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~1047)."
146,NIT,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Borderline,"Top-5 NIT, home state. Home quota = big edge. Metallurgy — core; brand-dependent. borderline (~1125)."
147,NIT,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. Metallurgy — core; brand-dependent. dream — closes ~45837, free to list on top."
148,NIT,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~28750, free to list on top."
149,GFTI,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,No-data,"Premium GFTI, far, brand-justified. CSE — best placements & most accessible for his condition. no PwD-cutoff history."
150,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,SAFE,"Top IIIT, far, brand-justified. AI/Data Science — high-demand software track. SAFE (closes ~1138)."
151,NIT,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,SAFE,"Top-15 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~839)."
152,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Good,"Top IIIT, near Hyderabad. ECE — strong circuit branch, software-convertible. likely (~494)."
153,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,SAFE,"Top IIIT, near Hyderabad. ECE — strong circuit branch, software-convertible. SAFE (closes ~1165)."
154,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. SAFE (closes ~1395)."
155,NIT,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Reach,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). reach (~832)."
156,NIT,National Institute of Technology Calicut,4123,Materials Science and Engineering,Good,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. likely (~1433)."
157,NIT,National Institute of Technology Calicut,4198,Energy Engineering,Good,"Top-5 NIT, South/Central. core/other — backup. likely (~630)."
158,NIT,"National Institute of Technology, Rourkela",4130,Mining Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~35731, free to list on top."
159,NIT,"National Institute of Technology, Rourkela",5247,Mining Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~41212, free to list on top."
160,NIT,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~865)."
161,NIT,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~1990)."
162,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Good,"Top IIIT, far, brand-justified. EEE — solid circuit branch. likely (~639)."
163,GFTI,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),No-data,"Premium GFTI, far, brand-justified. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD-cutoff history."
164,GFTI,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),No-data,"Premium GFTI, far, brand-justified. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD-cutoff history."
165,NIT,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Reach,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). reach (~736)."
166,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,SAFE,"Top-15 NIT, near Hyderabad. Metallurgy — core; brand-dependent. SAFE (closes ~843)."
167,IIIT,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,No-data,"Top IIIT, South/Central. ECE-VLSI — chip/embedded, desk-based. no PwD-cutoff history."
168,NIT,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~1415)."
169,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),SAFE,"Top IIIT, near Hyderabad. ECE — strong circuit branch, software-convertible. SAFE (closes ~1046)."
170,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,SAFE,"Top IIIT, near Hyderabad. ECE — strong circuit branch, software-convertible. SAFE (closes ~1458)."
171,NIT,National Institute of Technology Durgapur,4107,Chemical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. SAFE (closes ~936)."
172,NIT,National Institute of Technology Durgapur,5257,Chemical Engineering,Out,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. dream — closes ~36842, free to list on top."
173,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Good,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). likely (~740)."
174,NIT,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Good,"Top-15 NIT, far, brand-justified. Metallurgy — core; brand-dependent. likely (~1277)."
175,NIT,"National Institute of Technology, Rourkela",4104,Bio Technology,Good,"Top-5 NIT, South/Central. Biotech — softer market; backup only. likely (~1531)."
176,NIT,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,Out,"Top-5 NIT, South/Central. Biotech — softer market; backup only. dream — closes ~13278, free to list on top."
177,NIT,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Good,"Top-15 NIT, far, brand-justified. Production — core; decent at top NITs. likely (~655)."
178,NIT,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,SAFE,"Top-15 NIT, far, brand-justified. Production — core; decent at top NITs. SAFE (closes ~2564)."
179,GFTI,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,No-data,"Premium GFTI, far, brand-justified. Maths & Computing — places like CSE. no PwD-cutoff history."
180,NIT,"National Institute of Technology, Silchar",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~1335)."
181,IIIT,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Good,"Top IIIT, South/Central. ECE — strong circuit branch, software-convertible. likely (~728)."
182,NIT,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,SAFE,"Top-15 NIT, South/Central. Chemical — core; lab/process. SAFE (closes ~1403)."
183,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,SAFE,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~2945)."
184,NIT,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,No-data,"Top-15 NIT, far, brand-justified. Metallurgy — core; brand-dependent. no PwD-cutoff history."
185,NIT,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Out,"Top-15 NIT, far, brand-justified. core/other — backup. dream — closes ~5065, free to list on top."
186,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,Out,"Top-15 NIT, near Hyderabad. core/other — backup. dream — closes ~45731, free to list on top."
187,NIT,"National Institute of Technology, Warangal",4104,Bio Technology,Reach,"Top-5 NIT, home state. Home quota = big edge. Biotech — softer market; backup only. reach (~850)."
188,NIT,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,SAFE,"Top-15 NIT, far, brand-justified. Production — core; decent at top NITs. SAFE (closes ~2482)."
189,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,SAFE,"Top IIIT, far, brand-justified. ECE — strong circuit branch, software-convertible. SAFE (closes ~1499)."
190,NIT,National Institute of Technology Durgapur,4109,Civil Engineering,SAFE,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~1009)."
191,NIT,National Institute of Technology Calicut,4104,Bio Technology,Reach,"Top-5 NIT, South/Central. Biotech — softer market; backup only. reach (~355)."
192,NIT,"National Institute of Technology, Rourkela",4117,Engineering Physics,No-data,"Top-5 NIT, South/Central. 5-yr integrated science — niche backup. no PwD-cutoff history."
193,NIT,"National Institute of Technology, Rourkela",5503,Chemistry,Out,"Top-5 NIT, South/Central. 5-yr integrated science — niche backup. dream — closes ~43806, free to list on top."
194,GFTI,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),No-data,"Premium GFTI, far, brand-justified. ECE-VLSI — chip/embedded, desk-based. no PwD-cutoff history."
195,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,SAFE,"Top IIIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~1379)."
196,NIT,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Good,"Top-15 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). likely (~726)."
197,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Good,"Top-15 NIT, far, brand-justified. core/other — backup. likely (~519)."
198,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,SAFE,"Top-15 NIT, far, brand-justified. Metallurgy — core; brand-dependent. SAFE (closes ~3875)."
199,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,No-data,"Top-15 NIT, far, brand-justified. core/other — backup. no PwD-cutoff history."
200,NIT,"National Institute of Technology, Warangal",5503,Chemistry,Good,"Top-5 NIT, home state. Home quota = big edge. 5-yr integrated science — niche backup. likely (~1512)."
201,NIT,"National Institute of Technology, Warangal",5507,Physics,Out,"Top-5 NIT, home state. Home quota = big edge. 5-yr integrated science — niche backup. dream — closes ~17608, free to list on top."
202,NIT,"National Institute of Technology, Warangal",5508,Mathematics,Good,"Top-5 NIT, home state. Home quota = big edge. 5-yr integrated science — niche backup. likely (~579)."
203,GFTI,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,No-data,"Premium GFTI, far, brand-justified. ECE — strong circuit branch, software-convertible. no PwD-cutoff history."
204,NIT,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,SAFE,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~1108)."
205,NIT,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Out,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). dream — closes ~38018, free to list on top."
206,NIT,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,SAFE,"Top-15 NIT, far, brand-justified. Metallurgy — core; brand-dependent. SAFE (closes ~1194)."
207,NIT,National Institute of Technology Calicut,4117,Engineering Physics,Good,"Top-5 NIT, South/Central. 5-yr integrated science — niche backup. likely (~1671)."
208,NIT,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),No-data,"Top-5 NIT, South/Central. 5-yr integrated science — niche backup. no PwD-cutoff history."
209,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4125,Mechanical Engineering,Good,"Top IIIT, near Hyderabad. Mechanical — core; classroom/design-heavy, can pivot to software. likely (~619)."
210,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,SAFE,"Top IIIT, near Hyderabad. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~902)."
211,NIT,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,Reach,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). reach (~928)."
212,NIT,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,No-data,"Top-15 NIT, South/Central. Metallurgy — core; brand-dependent. no PwD-cutoff history."
213,NIT,Maulana Azad National Institute of Technology Bhopal,4501,Planning,Out,"Top-15 NIT, South/Central. core/other — backup. dream — closes ~351, free to list on top."
214,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4130,Mining Engineering,Out,"Top-15 NIT, far, brand-justified. core/other — backup. dream — closes ~58114, free to list on top."
215,NIT,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,SAFE,"Top-15 NIT, far, brand-justified. Biotech — softer market; backup only. SAFE (closes ~2420)."
216,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4117,Engineering Physics,No-data,"Top-15 NIT, near Hyderabad. 5-yr integrated science — niche backup. no PwD-cutoff history."
217,GFTI,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,No-data,"Premium GFTI, far, brand-justified. EEE — solid circuit branch. no PwD-cutoff history."
218,NIT,"National Institute of Technology, Silchar",4109,Civil Engineering,SAFE,"Top-15 NIT, far, brand-justified. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~1369)."
219,NIT,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,Reach,"Top-15 NIT, far, brand-justified. core/other — backup. reach (~366)."
220,NIT,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,Out,"Top-15 NIT, far, brand-justified. core/other — backup. dream — closes ~13362, free to list on top."
221,NIT,Malaviya National Institute of Technology Jaipur,4117,Engineering Physics,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
222,NIT,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,Out,"Top-15 NIT, far, brand-justified. Metallurgy — core; brand-dependent. dream — closes ~45058, free to list on top."
223,NIT,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,Out,"Top-15 NIT, far, brand-justified. core/other — backup. dream — closes ~21317, free to list on top."
224,NIT,National Institute of Technology Durgapur,4104,Bio Technology,SAFE,"Top-15 NIT, far, brand-justified. Biotech — softer market; backup only. SAFE (closes ~1286)."
225,NIT,National Institute of Technology Durgapur,5296,Biotechnology,Out,"Top-15 NIT, far, brand-justified. Biotech — softer market; backup only. dream — closes ~49920, free to list on top."
226,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,SAFE,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. SAFE (closes ~2141)."
227,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
228,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
229,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
230,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5503,Chemistry,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
231,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5507,Physics,No-data,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. no PwD-cutoff history."
232,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4176,Smart Manufacturing,SAFE,"Top IIIT, South/Central. core/other — backup. SAFE (closes ~1442)."
233,NIT,National Institute of Technology Durgapur,5503,Chemistry,Out,"Top-15 NIT, far, brand-justified. 5-yr integrated science — niche backup. dream — closes ~55165, free to list on top."
234,GFTI,"Punjab Engineering College, Chandigarh",4125,Mechanical Engineering,No-data,"Premium GFTI, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. no PwD-cutoff history."
235,NIT,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),Out,"Top-15 NIT, South/Central. 5-yr integrated science — niche backup. dream — closes ~22839, free to list on top."
236,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",413C,Design Engineering,SAFE,"Top IIIT, near Hyderabad. core/other — backup. SAFE (closes ~2217)."
237,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4176,Smart Manufacturing,SAFE,"Top IIIT, near Hyderabad. core/other — backup. SAFE (closes ~887)."
238,GFTI,"Punjab Engineering College, Chandigarh",4136,Production and Industrial Engineering,No-data,"Premium GFTI, far, brand-justified. Production — core; decent at top NITs. no PwD-cutoff history."
239,IIIT,Indian Institute of Information Technology (IIIT) Pune,413W,Cyber Security,No-data,"Top IIIT, South/Central. core/other — backup. no PwD-cutoff history."
240,GFTI,"Punjab Engineering College, Chandigarh",4109,Civil Engineering,No-data,"Premium GFTI, far, brand-justified. Civil — core, more field-oriented (weigh mobility). no PwD-cutoff history."
241,GFTI,University of Hyderabad,5313,Materials Engineering,SAFE,"Premium GFTI, near Hyderabad. Metallurgy — core; brand-dependent. SAFE (closes ~1263)."
242,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,411M,Mathematics and Scientific Computing,Good,"Top IIIT, far, brand-justified. 5-yr integrated science — niche backup. likely (~631)."
243,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5B01,Integrated B. Tech.(IT) and M. Tech (IT),Reach,"Top IIIT, far, brand-justified. 5-yr integrated science — niche backup. reach (~345)."
244,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5C01,Integrated B. Tech.(IT) and MBA,Good,"Top IIIT, far, brand-justified. 5-yr integrated science — niche backup. likely (~746)."
245,GFTI,"Punjab Engineering College, Chandigarh",4101,Aerospace Engineering,No-data,"Premium GFTI, far, brand-justified. core/other — backup. no PwD-cutoff history."
246,GFTI,"Punjab Engineering College, Chandigarh",4127,Metallurgical and Materials Engineering,No-data,"Premium GFTI, far, brand-justified. Metallurgy — core; brand-dependent. no PwD-cutoff history."
247,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4117,Engineering Physics,Out,"Top IIIT, near Hyderabad. 5-yr integrated science — niche backup. dream — closes ~15149, free to list on top."
