Priority,Tier,Type,Institute,BranchCode,Branch,Reach
416,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4142,Electronics and Instrumentation Engineering,SAFE
417,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4142,Electronics and Instrumentation Engineering,Out
418,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4153,Electronics and Telecommunication Engineering,Out
419,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4144,Electrical and Electronics Engineering,SAFE
420,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4144,Electrical and Electronics Engineering,SAFE
421,Safety-tail,GFTI,CU Jharkhand,4111,Electrical Engineering,Out
422,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411S,B.Tech in Electrical Engineering ( Rail  Engineering),Out
423,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4111,Electrical Engineering,No-data
424,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4111,Electrical Engineering,SAFE
425,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4111,Electrical Engineering,SAFE
426,Safety-tail,GFTI,"International Institute of Information Technology, Bhubaneswar",4144,Electrical and Electronics Engineering,SAFE
427,Safety-tail,GFTI,Islamic University of Science and Technology Kashmir,4111,Electrical Engineering,No-data
428,Safety-tail,GFTI,"Mizoram University, Aizawl",4111,Electrical Engineering,SAFE
429,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4111,Electrical Engineering,No-data
430,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4144,Electrical and Electronics Engineering,Out
431,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4111,Electrical Engineering,SAFE
432,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5217,Electrical Engineering,Out
433,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4111,Electrical Engineering,SAFE
434,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4111,Electrical Engineering,SAFE
435,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4111,Electrical Engineering,Out
436,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4111,Electrical Engineering,SAFE
437,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4148,Instrumentation and Control Engineering,SAFE
438,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4125,Mechanical Engineering,SAFE
439,Safety-tail,NIT,National Institute of Technology Delhi,4125,Mechanical Engineering,Borderline
440,Safety-tail,NIT,National Institute of Technology Goa,4125,Mechanical Engineering,SAFE
441,Safety-tail,NIT,National Institute of Technology Hamirpur,4125,Mechanical Engineering,SAFE
442,Safety-tail,NIT,National Institute of Technology Puducherry,4125,Mechanical Engineering,SAFE
443,Safety-tail,NIT,National Institute of Technology Raipur,4125,Mechanical Engineering,Borderline
444,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4125,Mechanical Engineering,SAFE
445,Safety-tail,NIT,"National Institute of Technology, Srinagar",4125,Mechanical Engineering,SAFE
446,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4125,Mechanical Engineering,Out
447,Safety-tail,NIT,National Institute of Technology Agartala,4114,Electronics and Communication Engineering,Good
448,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4114,Electronics and Communication Engineering,SAFE
449,Safety-tail,NIT,National Institute of Technology Sikkim,4114,Electronics and Communication Engineering,SAFE
450,Safety-tail,NIT,"National Institute of Technology, Manipur",4114,Electronics and Communication Engineering,SAFE
451,Safety-tail,NIT,"National Institute of Technology, Manipur",5234,Electronics and Communication Engineering,No-data
452,Safety-tail,NIT,"National Institute of Technology, Mizoram",4114,Electronics and Communication Engineering,SAFE
453,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4149,Industrial and Production Engineering,SAFE
454,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5233,Mechanical Engineering,SAFE
455,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4175,Mechanical Engineering with specialization in Design and Manufacturing,SAFE
456,Safety-tail,NIT,National Institute of Technology Agartala,4142,Electronics and Instrumentation Engineering,SAFE
457,Safety-tail,NIT,National Institute of Technology Agartala,4111,Electrical Engineering,SAFE
458,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4111,Electrical Engineering,SAFE
459,Safety-tail,NIT,National Institute of Technology Sikkim,4144,Electrical and Electronics Engineering,SAFE
460,Safety-tail,NIT,"National Institute of Technology, Manipur",4111,Electrical Engineering,SAFE
461,Safety-tail,NIT,"National Institute of Technology, Manipur",5217,Electrical Engineering,No-data
462,Safety-tail,NIT,"National Institute of Technology, Mizoram",4111,Electrical Engineering,SAFE
463,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4121,Instrumentation Engineering,Out
464,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4148,Instrumentation and Control Engineering,Out
465,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4107,Chemical Engineering,SAFE
466,Safety-tail,NIT,National Institute of Technology Hamirpur,4107,Chemical Engineering,SAFE
467,Safety-tail,NIT,National Institute of Technology Raipur,4107,Chemical Engineering,SAFE
468,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4107,Chemical Engineering,SAFE
469,Safety-tail,NIT,"National Institute of Technology, Srinagar",4107,Chemical Engineering,SAFE
470,Safety-tail,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",4125,Mechanical Engineering,SAFE
471,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4125,Mechanical Engineering,SAFE
472,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411T,B.Tech in Mechanical Engineering ( Rail  Engineering),Out
473,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4125,Mechanical Engineering,No-data
474,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",4125,Mechanical Engineering,SAFE
475,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4125,Mechanical Engineering,SAFE
476,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4125,Mechanical Engineering,SAFE
477,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4125,Mechanical Engineering,No-data
478,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4125,Mechanical Engineering,SAFE
479,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4125,Mechanical Engineering,Out
480,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5233,Mechanical Engineering,Out
481,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5422,B.Tech. (Mechanical Engineering) - MBA,Out
482,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4125,Mechanical Engineering,SAFE
483,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4125,Mechanical Engineering,Out
484,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4125,Mechanical Engineering,Out
485,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4125,Mechanical Engineering,SAFE
486,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4109,Civil Engineering,Borderline
487,Safety-tail,NIT,National Institute of Technology Delhi,4109,Civil Engineering,Good
488,Safety-tail,NIT,National Institute of Technology Goa,4109,Civil Engineering,Good
489,Safety-tail,NIT,National Institute of Technology Hamirpur,4109,Civil Engineering,SAFE
490,Safety-tail,NIT,National Institute of Technology Puducherry,4109,Civil Engineering,Reach
491,Safety-tail,NIT,National Institute of Technology Raipur,4109,Civil Engineering,SAFE
492,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4109,Civil Engineering,Good
493,Safety-tail,NIT,"National Institute of Technology, Srinagar",4109,Civil Engineering,SAFE
494,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4109,Civil Engineering,Good
495,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4136,Production and Industrial Engineering,SAFE
496,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4136,Production and Industrial Engineering,SAFE
497,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4149,Industrial and Production Engineering,Out
498,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4149,Industrial and Production Engineering,Out
499,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4107,Chemical Engineering,SAFE
500,Safety-tail,GFTI,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",5D01,Chemical Engineering,SAFE
501,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4107,Chemical Engineering,SAFE
502,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4107,Chemical Engineering,Out
503,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5210,Chemical Engineering,No-data
504,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4107,Chemical Engineering,SAFE
505,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4139,Textile Technology,SAFE
506,Safety-tail,NIT,National Institute of Technology Delhi,4101,Aerospace Engineering,Out
507,Safety-tail,NIT,National Institute of Technology Delhi,411Z,VLSI Design and Technology,Out
508,Safety-tail,NIT,National Institute of Technology Hamirpur,4123,Materials Science and Engineering,SAFE
509,Safety-tail,NIT,National Institute of Technology Raipur,4127,Metallurgical and Materials Engineering,SAFE
510,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4127,Metallurgical and Materials Engineering,Out
511,Safety-tail,NIT,"National Institute of Technology, Srinagar",4127,Metallurgical and Materials Engineering,SAFE
512,Safety-tail,NIT,National Institute of Technology Agartala,4125,Mechanical Engineering,SAFE
513,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4125,Mechanical Engineering,SAFE
514,Safety-tail,NIT,National Institute of Technology Sikkim,4125,Mechanical Engineering,Out
515,Safety-tail,NIT,"National Institute of Technology, Manipur",4125,Mechanical Engineering,SAFE
516,Safety-tail,NIT,"National Institute of Technology, Manipur",5233,Mechanical Engineering,No-data
517,Safety-tail,NIT,"National Institute of Technology, Mizoram",4125,Mechanical Engineering,SAFE
518,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4109,Civil Engineering,SAFE
519,Safety-tail,GFTI,CU Jharkhand,4109,Civil Engineering,Out
520,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4109,Civil Engineering,Out
521,Safety-tail,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",4109,Civil Engineering,SAFE
522,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411U,B.Tech in Civil Engineering (Rail Engineering),Out
523,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",410X,Civil and Environmental Engineering,No-data
524,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4109,Civil Engineering,SAFE
525,Safety-tail,GFTI,"Mizoram University, Aizawl",4109,Civil Engineering,SAFE
526,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,4109,Civil Engineering,No-data
527,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4109,Civil Engineering,SAFE
528,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4109,Civil Engineering,Out
529,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5417,B.Tech. (Civil Engineering) - MBA,Out
530,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4109,Civil Engineering,Good
531,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",4109,Civil Engineering,Out
532,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4109,Civil Engineering,Out
533,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4109,Civil Engineering,Out
534,Safety-tail,NIT,National Institute of Technology Raipur,4130,Mining Engineering,Out
535,Safety-tail,NIT,National Institute of Technology Agartala,4145,Production Engineering,SAFE
536,Safety-tail,NIT,National Institute of Technology Agartala,4105,Biotechnology and Biochemical Engineering,SAFE
537,Safety-tail,NIT,National Institute of Technology Agartala,4107,Chemical Engineering,SAFE
538,Safety-tail,NIT,"National Institute of Technology, Mizoram",4108,Chemical Science and Technology,Out
539,Safety-tail,GFTI,"Assam University, Silchar",4168,Agricultural Engineering,Borderline
540,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4167,Food Engineering  and Technology,SAFE
541,Safety-tail,GFTI,CU Jharkhand,4127,Metallurgical and Materials Engineering,Out
542,Safety-tail,GFTI,"Central institute of Technology Kokrajar, Assam",4167,Food Engineering  and Technology,Out
543,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",411W,B.Tech in Aviation Engineering,Out
544,Safety-tail,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",413S,Maritime Engineering,No-data
545,Safety-tail,GFTI,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",4164,Food Technology,No-data
546,Safety-tail,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",412A,ROBOTICS & AUTOMATION,No-data
547,Safety-tail,GFTI,"Indian Institute of Carpet Technology, Bhadohi",4160,Carpet  and Textile Technology,Out
548,Safety-tail,GFTI,"Indian Institute of Handloom Technology(IIHT), Varanasi",4197,Handloom and Textile Technology,SAFE
549,Safety-tail,GFTI,"Indian Institute of Handloom Technology, Salem",4197,Handloom and Textile Technology,SAFE
550,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",411O,Aeronautical Engineering,Out
551,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",411P,Dairy Engineering,Out
552,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",411Q,Fashion and Apparel Engineering,Out
553,Safety-tail,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",4167,Food Engineering  and Technology,Out
554,Safety-tail,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",4151,Computer Engineering,SAFE
555,Safety-tail,GFTI,"Mizoram University, Aizawl",4151,Computer Engineering,SAFE
556,Safety-tail,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",4127,Metallurgical and Materials Engineering,No-data
557,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Agartala",413J,B.Tech in CSE (AI and ML),No-data
558,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Aizawl",413P,Internet of Things (IoT),No-data
559,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",412K,Electronic Engineering,SAFE
560,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Calicut",413J,B.Tech in CSE (AI and ML),No-data
561,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Imphal",413J,B.Tech in CSE (AI and ML),No-data
562,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Kohima",413J,B.Tech in CSE (AI and ML),No-data
563,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",413J,B.Tech in CSE (AI and ML),SAFE
564,Safety-tail,GFTI,"National Institute of Electronics and Information Technology, Srinagar",413J,B.Tech in CSE (AI and ML),No-data
565,Safety-tail,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Kundli",4183,Food Technology and Management,SAFE
566,Safety-tail,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",4164,Food Technology,SAFE
567,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,413Q,Digital Manufacturing and IoT,No-data
568,Safety-tail,GFTI,National Institute of Technical Teachers Training and Research Bhopal,412A,ROBOTICS & AUTOMATION,No-data
569,Safety-tail,GFTI,"North-Eastern Hill University, Shillong",4198,Energy Engineering,SAFE
570,Safety-tail,GFTI,"Puducherry Technological University, Puducherry",4178,Mechatronics Engineering,SAFE
571,Safety-tail,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",4101,Aerospace Engineering,SAFE
572,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,4164,Food Technology,SAFE
573,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5419,B.Tech. (Elctrical Engineering) - MBA,Out
574,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",5421,B.Tech. (Food Engineering and Technology) - MBA,Out
575,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4402,Bachelor of Design,Out
576,Safety-tail,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",4167,Food Engineering  and Technology,Out
577,Safety-tail,GFTI,"School of Planning & Architecture, Bhopal",4501,Planning,Out
578,Safety-tail,GFTI,"School of Planning & Architecture, New Delhi",4501,Planning,Out
579,Safety-tail,GFTI,School of Planning & Architecture: Vijayawada,4501,Planning,Out
580,Safety-tail,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",413F,Animation and VFX,Good
581,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4402,Bachelor of Design,No-data
582,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4164,Food Technology,No-data
583,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",412Y,Robotics and AI,SAFE
584,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4104,Bio Technology,Good
585,Safety-tail,NIT,National Institute of Technology Raipur,4152,Bio Medical Engineering,SAFE
586,Safety-tail,NIT,National Institute of Technology Raipur,4104,Bio Technology,Out
587,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4104,Bio Technology,Good
588,Safety-tail,NIT,National Institute of Technology Agartala,4109,Civil Engineering,SAFE
589,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4109,Civil Engineering,SAFE
590,Safety-tail,NIT,National Institute of Technology Sikkim,4109,Civil Engineering,Out
591,Safety-tail,NIT,"National Institute of Technology, Manipur",4109,Civil Engineering,SAFE
592,Safety-tail,NIT,"National Institute of Technology, Manipur",5213,Civil Engineering,No-data
593,Safety-tail,NIT,"National Institute of Technology, Mizoram",4109,Civil Engineering,Out
594,Safety-tail,NIT,National Institute of Technology Hamirpur,4117,Engineering Physics,SAFE
595,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4104,Bio Technology,SAFE
596,Safety-tail,GFTI,"Central University of Rajasthan, Rajasthan",4152,Bio Medical Engineering,SAFE
597,Safety-tail,GFTI,"North-Eastern Hill University, Shillong",4191,Biomedical Engineering,SAFE
598,Safety-tail,GFTI,Shri G. S. Institute of Technology and Science Indore,4191,Biomedical Engineering,Out
599,Safety-tail,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",4104,Bio Technology,Out
600,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,413D,Physics and Computational Engineering,SAFE
601,Safety-tail,GFTI,"Birla Institute of Technology, Mesra, Ranchi",5507,Physics,Out
602,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5503,Chemistry,Out
603,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5508,Mathematics,Out
604,Safety-tail,GFTI,Sant Longowal Institute of Engineering and Technology,5507,Physics,Out
605,Safety-tail,NIT,National Institute of Technology Arunachal Pradesh,4194,Biosciences and Bioengineering,SAFE
606,Safety-tail,NIT,National Institute of Technology Agartala,5604,Chemistry,SAFE
607,Safety-tail,NIT,National Institute of Technology Agartala,520G,Computational Mathematics,Out
608,Safety-tail,NIT,National Institute of Technology Agartala,5267,Engineering Physics,SAFE
609,Safety-tail,NIT,National Institute of Technology Agartala,5606,Mathematics & Computing,Out
610,Safety-tail,NIT,National Institute of Technology Agartala,5602,Physics,SAFE
611,Bihar-last,NIT,National Institute of Technology Patna,4110,Computer Science and Engineering,Out
612,Bihar-last,NIT,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,Borderline
613,Bihar-last,NIT,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,Out
614,Bihar-last,NIT,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,Out
615,Bihar-last,NIT,National Institute of Technology Patna,520O,Mathematics and Computing Technology,Out
616,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",4110,Computer Science and Engineering,SAFE
617,Bihar-last,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",4110,Computer Science and Engineering,Good
618,Bihar-last,NIT,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),SAFE
619,Bihar-last,NIT,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,Good
620,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),No-data
621,Bihar-last,NIT,National Institute of Technology Patna,4114,Electronics and Communication Engineering,Good
622,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",5506,Mathematics and Computing,Out
623,Bihar-last,NIT,National Institute of Technology Patna,4111,Electrical Engineering,SAFE
624,Bihar-last,NIT,National Institute of Technology Patna,520K,Electrical Engineering with Specialization In Power System Engineering,Out
625,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",4114,Electronics and Communication Engineering,SAFE
626,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",4144,Electrical and Electronics Engineering,SAFE
627,Bihar-last,NIT,National Institute of Technology Patna,4125,Mechanical Engineering,SAFE
628,Bihar-last,NIT,National Institute of Technology Patna,520L,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,Good
629,Bihar-last,NIT,National Institute of Technology Patna,521R,Chemical Technology,SAFE
630,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",4125,Mechanical Engineering,SAFE
631,Bihar-last,NIT,National Institute of Technology Patna,4109,Civil Engineering,SAFE
632,Bihar-last,NIT,National Institute of Technology Patna,520M,Civil Engineering with Specialization in Construction Technology and Management,Out
633,Bihar-last,NIT,National Institute of Technology Patna,520N,Material Science and Engineering,Out
634,Bihar-last,NIT,National Institute of Technology Patna,411B,Mechatronics and Automation Engineering,Out
635,Bihar-last,GFTI,"Birla Institute of Technology, Patna Off-Campus",4109,Civil Engineering,SAFE
