Rank,Type,Institute,Branch,HisQuota,General-GN,OBC-NCL-GN,OBC-PwD,General-PwD
1,NIT,"National Institute of Technology, Tiruchirappalli",Computer Science and Engineering,OS,1394,411,22,36
2,NIT,"National Institute of Technology Karnataka, Surathkal",Computer Science and Engineering,OS,1809,592,42,
3,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering,HS,2336,722,95,107
4,NIT,"National Institute of Technology Karnataka, Surathkal",Artificial Intelligence,OS,2739,998,,143
5,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering ( Artificial Intelligence & Data Science),HS,2950,1070,,160
6,NIT,"National Institute of Technology Karnataka, Surathkal",Information Technology,OS,3169,1132,,114
7,NIT,"National Institute of Technology, Rourkela",Computer Science and Engineering,OS,3386,1180,47,120
8,NIT,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,OS,3580,1292,,
9,NIT,"National Institute of Technology, Warangal",Mathematics and Computing,HS,3606,1073,396,
10,NIT,"National Institute of Technology, Tiruchirappalli",Electronics and Communication Engineering,OS,3824,1408,68,131
11,NIT,"National Institute of Technology, Rourkela",Artificial Intelligence,OS,4216,1381,,
12,NIT,Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering,OS,4521,1664,86,140
13,NIT,"National Institute of Technology Karnataka, Surathkal",Electronics and Communication Engineering,OS,4723,1714,,
14,NIT,National Institute of Technology Calicut,Computer Science and Engineering,OS,4987,1643,98,100
15,NIT,Malaviya National Institute of Technology Jaipur,Computer Science and Engineering,OS,5074,1925,84,138
16,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering,HS,5295,1847,108,
17,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology,AI,5558,2488,188,249
18,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology-Business Informatics,AI,5774,2593,221,270
19,NIT,"National Institute of Technology, Rourkela",Electronics and Communication Engineering,OS,6092,2088,,176
20,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering (VLSI Design and Technology),HS,6111,1941,,315
21,NIT,"National Institute of Technology, Tiruchirappalli",Electrical and Electronics Engineering,OS,6134,2409,,287
22,NIT,Malaviya National Institute of Technology Jaipur,Artificial Intelligence and Data Engineering,OS,6138,2321,,
23,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science and Engineering,OS,6414,2182,115,214
24,NIT,"National Institute of Technology, Kurukshetra",Computer Science and Engineering,OS,6518,2440,,120
25,NIT,"National Institute of Technology, Kurukshetra",Computer Engineering,OS,7401,2616,108,199
26,NIT,"National Institute of Technology Karnataka, Surathkal",Electrical and Electronics Engineering,OS,7480,2703,107,
27,NIT,"National Institute of Technology, Kurukshetra",Computer Science and Engineering,OS,7500,2364,,
28,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science and Engineering,OS,7661,2918,146,233
29,NIT,"National Institute of Technology, Kurukshetra",Artificial Intelligence and Data Science,OS,7998,3132,,
30,NIT,"National Institute of Technology, Warangal",Electrical and Electronics Engineering,HS,8301,3073,273,489
31,IIIT,"Indian Institute of Information Technology, Allahabad",Electronics and Communication Engineering,AI,8359,3607,224,400
32,NIT,National Institute of Technology Calicut,Electronics and Communication Engineering,OS,8368,2880,152,242
33,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,AI,8443,3353,212,212
34,NIT,Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering,OS,8482,3193,204,355
35,NIT,National Institute of Technology Delhi,Computer Science and Engineering,OS,8533,3399,,
36,NIT,"National Institute of Technology, Kurukshetra",Information Technology,OS,8543,3077,111,
37,NIT,National Institute of Technology Delhi,Artificial Intelligence and Data Science,OS,8602,2825,,336
38,NIT,"National Institute of Technology, Jamshedpur",Computer Science and Engineering,OS,8683,2880,115,294
39,NIT,"National Institute of Technology, Kurukshetra",Artificial Intelligence and Machine Learning,OS,8958,3242,161,349
40,NIT,Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering,OS,9150,3424,140,283
41,NIT,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,OS,9424,3797,190,
42,NIT,"National Institute of Technology, Tiruchirappalli",Mechanical Engineering,OS,9465,4130,196,365
43,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Artificial Intelligence,AI,9497,3722,312,264
44,NIT,National Institute of Technology Durgapur,Computer Science and Engineering,OS,9557,3162,142,289
45,IIIT,Indian Institute of Information Technology Lucknow,Computer Science,AI,9749,3995,349,396
46,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics and Computing,OS,10026,4042,306,
47,NIT,"National Institute of Technology, Kurukshetra",Mathematics and Computing,OS,10102,3833,236,487
48,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,OS,10168,3795,202,423
49,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electronics and Communication Engineering,OS,10862,3969,232,443
50,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science and Engineering,OS,11079,3817,174,347
51,NIT,"National Institute of Technology, Rourkela",Electronics and Instrumentation Engineering,OS,11098,4388,,
52,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Business,AI,11282,4649,475,501
53,NIT,"National Institute of Technology, Rourkela",Electrical Engineering,OS,11332,4215,228,493
54,IIIT,Indian Institute of Information Technology Lucknow,Information Technology,AI,11619,4722,608,509
55,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Mathematics and Scientific Computing,AI,11658,4658,631,585
56,NIT,Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering,OS,11672,4974,390,437
57,NIT,Motilal Nehru National Institute of Technology Allahabad,Engineering and Computational Mechanics,OS,11915,5413,,
58,NIT,"National Institute of Technology, Tiruchirappalli",Instrumentation and Control Engineering,OS,12096,4548,399,681
59,NIT,"National Institute of Technology, Kurukshetra",Electronics and Communication Engineering,OS,12225,4950,,
60,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,OS,12259,4746,,473
61,NIT,"National Institute of Technology, Kurukshetra",Electronics and Communication Engineering,OS,12266,4589,183,366
62,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,OS,12416,4246,250,429
63,NIT,National Institute of Technology Delhi,Electronics and Communication Engineering,OS,12490,4653,,382
64,NIT,National Institute of Technology Calicut,Electrical and Electronics Engineering,OS,12627,4598,263,464
65,NIT,National Institute of Technology Durgapur,B.Tech in Mathematics and Computing,OS,12708,4267,439,
66,NIT,"National Institute of Technology, Kurukshetra",ROBOTICS & AUTOMATION,OS,12760,4976,424,880
67,NIT,"National Institute of Technology Karnataka, Surathkal",Mechanical Engineering,OS,12800,4966,349,599
68,NIT,National Institute of Technology Goa,Computer Science and Engineering,OS,12918,4777,,
69,NIT,National Institute of Technology Raipur,Computer Science and Engineering,OS,13170,4262,209,427
70,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and M. Tech (IT),AI,13359,5437,433,574
71,NIT,"National Institute of Technology, Jamshedpur",Electronics and Communication Engineering,OS,13376,4689,358,
72,NIT,National Institute of Technology Delhi,Aerospace Engineering,OS,13816,4736,,
73,NIT,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,OS,13900,5659,,516
74,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,OS,13972,4979,290,476
75,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science and Engineering,OS,14068,5252,310,556
76,NIT,National Institute of Technology Durgapur,Electronics and Communication Engineering,OS,14130,4791,,519
77,NIT,National Institute of Technology Delhi,VLSI Design and Technology,OS,14205,5481,,
78,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,OS,14230,4675,,555
79,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and Communication Engineering,OS,14374,5248,394,555
80,NIT,Malaviya National Institute of Technology Jaipur,Electrical Engineering,OS,14419,5333,489,783
81,NIT,National Institute of Technology Patna,Computer Science and Engineering,OS,14467,4774,235,491
82,NIT,Maulana Azad National Institute of Technology Bhopal,Mathematics and Data Science,OS,14519,5406,,
83,NIT,"National Institute of Technology, Warangal",Mechanical Engineering,HS,14706,5389,441,684
84,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Computer Science and Engineering,AI,14709,5567,419,804
85,NIT,"National Institute of Technology, Kurukshetra",Microelectronics & VLSI Engineering,OS,14777,5754,,
86,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,OS,14780,5513,,1184
87,NIT,Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,OS,14928,5575,330,627
88,NIT,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,OS,15010,6092,522,506
89,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Engineering,OS,15037,5610,,471
90,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and Communication Engineering,OS,15568,5673,346,747
91,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electrical and Electronics Engineering,OS,15606,5638,490,949
92,NIT,National Institute of Technology Patna,Mathematics and Computing Technology,OS,15634,6070,,
93,NIT,National Institute of Technology Patna,Computer Science and Engineering with Specialization in Data Science,OS,15738,5754,,
94,NIT,National Institute of Technology Raipur,Information Technology,OS,15865,5507,,642
95,NIT,"National Institute of Technology, Rourkela",Mechanical Engineering,OS,15993,5874,454,799
96,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and VLSI Engineering,OS,16034,5901,,1105
97,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and MBA,AI,16045,6629,709,702
98,NIT,National Institute of Technology Hamirpur,Mathematics and Computing,OS,16068,5648,470,644
99,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,OS,16528,6830,,762
100,NIT,National Institute of Technology Patna,Artificial Intelligence and Data Science,OS,16537,5792,,638
101,NIT,National Institute of Technology Patna,Computer Science and Engineering with Specialization in Cyber Security,OS,16845,5852,446,
102,NIT,"National Institute of Technology, Kurukshetra",Industrial Internet of Things,OS,17168,6989,599,1015
103,NIT,National Institute of Technology Calicut,Engineering Physics,OS,17204,7452,,1671
104,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and VLSI Engineering,OS,17266,6170,632,1072
105,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,OS,17421,6142,548,588
106,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,AI,17446,6826,761,1233
107,NIT,National Institute of Technology Delhi,Electrical Engineering,OS,17700,6310,401,600
108,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Computer Science and Engineering,AI,17714,8175,732,813
109,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Information Technology,OS,17727,6304,452,747
110,NIT,National Institute of Technology Goa,Electronics and Communication Engineering,OS,17919,6506,,824
111,NIT,"National Institute of Technology, Andhra Pradesh",Computer Science and Engineering,OS,18001,6227,222,506
112,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,AI,18236,6934,278,534
113,NIT,"National Institute of Technology, Uttarakhand",Computer Science and Engineering,OS,18326,6471,227,666
114,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,OS,18439,6559,591,979
115,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering with Major in Artificial Intelligence,AI,18474,7232,349,528
116,NIT,National Institute of Technology Puducherry,Computer Science and Engineering,OS,18526,6563,104,472
117,IIIT,Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering,AI,18744,8061,632,702
118,NIT,"National Institute of Technology, Jamshedpur",Electrical Engineering,OS,18828,6662,656,664
119,GFTI,"International Institute of Information Technology, Naya Raipur",Computer Science and Engineering,AI,18898,7650,1042,1084
120,NIT,"National Institute of Technology, Warangal",Chemical Engineering,HS,18955,6974,,1102
121,NIT,"National Institute of Technology, Tiruchirappalli",Civil Engineering,OS,19047,6950,329,471
122,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Artificial Intelligence and Machine Learning,AI,19131,8780,1290,939
123,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,OS,19202,9372,,2128
124,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,OS,19343,7362,,1135
125,NIT,National Institute of Technology Raipur,Electronics and Communication Engineering,OS,19353,6487,378,790
126,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Electronics and Communication Engineering,AI,19376,7524,688,1392
127,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electrical Engineering,OS,19912,7018,611,1081
128,NIT,National Institute of Technology Durgapur,Electrical Engineering,OS,20305,6687,723,1210
129,NIT,Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,OS,20468,7568,508,852
130,NIT,"National Institute of Technology, Jamshedpur",Engineering and Computational Mechanics,OS,20646,6273,,
131,NIT,National Institute of Technology Patna,Electronics and Communication Engineering,OS,20760,6766,601,829
132,NIT,"National Institute of Technology, Warangal",Chemical Engineering,HS,20805,6105,,
133,NIT,Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,OS,20883,7179,609,1182
134,NIT,National Institute of Technology Calicut,Mechanical Engineering,OS,20932,7044,428,916
135,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,OS,20980,6949,,1035
136,NIT,Malaviya National Institute of Technology Jaipur,Mechanical Engineering,OS,20981,7949,,1099
137,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,OS,21323,7309,,1166
138,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electronics and Telecommunication Engineering,OS,21734,7627,613,1140
139,NIT,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,OS,22533,8395,750,1586
140,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,AI,22605,8677,453,879
141,NIT,National Institute of Technology Patna,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,OS,22675,7022,726,
142,GFTI,"International Institute of Information Technology, Naya Raipur",Data Science and Artificial Intelligence,AI,22680,9036,,832
143,NIT,"National Institute of Technology, Warangal",Physics,HS,22728,10908,,
144,NIT,National Institute of Technology Patna,Electronics Engineering (VLSI Design and Technology),OS,22770,8295,1151,1449
145,NIT,"National Institute of Technology, Tiruchirappalli",Metallurgical and Materials Engineering,OS,22814,8578,,817
146,NIT,Maulana Azad National Institute of Technology Bhopal,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),OS,22839,7810,,
147,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Computer Science and Engineering,AI,22888,10038,1237,1768
148,NIT,National Institute of Technology Delhi,Mechanical Engineering,OS,22933,8540,,825
149,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,OS,23031,7923,,
150,NIT,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,OS,23157,8012,478,926
151,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mechanical Engineering,OS,23394,8167,654,924
152,NIT,"National Institute of Technology, Srinagar",Computer Science and Engineering,OS,23608,7550,418,797
153,NIT,National Institute of Technology Goa,Electrical and Electronics Engineering,OS,23633,8409,741,1128
154,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),AI,23637,10710,,1920
155,NIT,"National Institute of Technology, Tiruchirappalli",Production Engineering,OS,23708,8836,847,1018
156,NIT,"National Institute of Technology Karnataka, Surathkal",Metallurgical and Materials Engineering,OS,23835,8870,524,1075
157,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Aerospace Engineering,OS,23868,8386,446,
158,NIT,National Institute of Technology Puducherry,Electronics and Communication Engineering,OS,23990,7811,334,748
159,NIT,"National Institute of Technology, Warangal",Mathematics,HS,24026,8569,839,
160,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Engineering Physics,OS,24038,11446,,2141
161,IIIT,Indian Institute of Information Technology (IIIT) Pune,Electronics and Communication Engineering,AI,24457,11029,903,1592
162,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,OS,24517,8747,685,
163,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Computer Science and Engineering,AI,24704,10324,1205,1459
164,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,AI,24892,9448,,1371
165,NIT,National Institute of Technology Patna,Mechatronics and Automation Engineering,OS,24970,8808,,
166,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering,AI,25169,10876,817,1585
167,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Information Technology,AI,25425,11306,1398,1750
168,NIT,"National Institute of Technology, Andhra Pradesh",Electronics and Communication Engineering,OS,25689,8919,596,650
169,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering,AI,25706,11085,604,1102
170,NIT,Malaviya National Institute of Technology Jaipur,Chemical Engineering,OS,25816,9297,858,1258
171,NIT,"National Institute of Technology, Uttarakhand",Electronics and Communication Engineering,OS,25925,8161,969,1913
172,NIT,National Institute of Technology Calicut,Energy Engineering,OS,25927,9199,630,1146
173,NIT,Maulana Azad National Institute of Technology Bhopal,Energy and Electrical Vehicle Engineering,OS,25974,8270,,
174,NIT,National Institute of Technology Hamirpur,Electrical Engineering,OS,26080,8913,1216,1692
175,NIT,"National Institute of Technology, Rourkela",Physics,OS,26186,11535,,
176,NIT,"National Institute of Technology, Warangal",Civil Engineering,HS,26369,8782,,513
177,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Artificial Intelligence and Machine Learning),AI,26485,12232,,1038
178,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Data Science),AI,26656,10977,754,1002
179,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Electronics and Communication Engineering,AI,26708,9721,723,1291
