Rank,Type,Institute,Branch,HisQuota,General-GN,OBC-NCL-GN,OBC-PwD,General-PwD
348,NIT,Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,OS,45675,15428,1117,2116
349,NIT,National Institute of Technology Patna,Civil Engineering with Specialization in Construction Technology and Management,OS,45685,15683,,
350,NIT,National Institute of Technology Durgapur,Metallurgical and Materials Engineering,OS,45686,15274,1152,2313
351,GFTI,"Puducherry Technological University, Puducherry",Information Technology,AI,45792,18934,,1882
352,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics,OS,46200,17675,1370,1578
353,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mining Engineering,OS,46237,14898,,
354,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Industrial Chemistry,OS,46273,15073,1113,3431
355,NIT,"National Institute of Technology, Jamshedpur",Metallurgical and Materials Engineering,OS,46400,15505,,
356,NIT,National Institute of Technology Raipur,Civil Engineering,OS,46533,15601,951,1710
357,NIT,National Institute of Technology Hamirpur,Civil Engineering,OS,46739,15413,1353,3228
358,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and Production Engineering,OS,46820,15631,,2548
359,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Physics,OS,46949,18009,1607,3257
360,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering with Major in Artificial Intelligence,AI,46987,18865,1348,1840
361,NIT,"National Institute of Technology, Rourkela",Chemistry,OS,47082,15365,,
362,NIT,National Institute of Technology Patna,Civil Engineering,OS,47144,15906,1100,1928
363,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering,AI,47381,18477,,1656
364,NIT,National Institute of Technology Hamirpur,Materials Science and Engineering,OS,47981,16199,1778,2469
365,NIT,"National Institute of Technology, Srinagar",Mechanical Engineering,OS,47993,15820,1576,2410
366,GFTI,"Birla Institute of Technology, Patna Off-Campus",Computer Science and Engineering,AI,48378,18840,1504,2257
367,NIT,National Institute of Technology Durgapur,Bio Technology,OS,48446,16020,1180,1668
368,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Smart Manufacturing,AI,48552,16809,980,1837
369,NIT,"National Institute of Technology, Uttarakhand",Civil Engineering,OS,48853,16010,,1429
370,NIT,National Institute of Technology Durgapur,Biotechnology,OS,48949,16893,,
371,NIT,"National Institute of Technology, Rourkela",Life Science,OS,48991,17332,,
372,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,49148,16299,593,
373,NIT,National Institute of Technology Puducherry,Civil Engineering,OS,49492,16199,,919
374,IIIT,Indian Institute of Information Technology Bhagalpur,Mechatronics and Automation Engineering,AI,50166,18268,1432,3572
375,GFTI,"Puducherry Technological University, Puducherry",Computer Science and Engineering,AI,50252,19110,846,
376,GFTI,"Central University of Rajasthan, Rajasthan",Computer Science and Engineering,AI,50484,18638,,2707
377,NIT,National Institute of Technology Raipur,Metallurgical and Materials Engineering,OS,50632,17044,,2211
378,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",B.Tech in CSE (AI and ML),AI,50647,22118,1226,1857
379,GFTI,Shri G. S. Institute of Technology and Science Indore,Electrical Engineering,AI,50882,,,
380,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Design Engineering,AI,50908,18076,,2217
381,GFTI,Shri G. S. Institute of Technology and Science Indore,Electronics and Instrumentation Engineering,AI,51031,,,
382,NIT,"National Institute of Technology, Andhra Pradesh",Civil Engineering,OS,51085,16656,1001,1523
383,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Smart Manufacturing,AI,51205,18155,1442,2519
384,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Computer Science and Engineering,AI,51218,19185,953,1619
385,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering with specialization in Design and Manufacturing,AI,51286,18370,1222,1950
386,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Metallurgy and Materials Engineering,OS,51609,17524,,3047
387,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Civil Engineering,OS,51785,17149,,2670
388,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Computer Engineering,AI,52283,19535,1473,2126
389,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering,AI,52287,18486,1086,2504
390,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Chemical Engineering,AI,52317,19657,1590,3707
391,NIT,"National Institute of Technology, Andhra Pradesh",Metallurgical and Materials Engineering,OS,52571,17454,,
392,GFTI,"Birla Institute of Technology, Patna Off-Campus",Artificial Intelligence and Machine Learning,AI,52587,20272,1486,2508
393,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Textile Technology,OS,52639,17398,1294,3026
394,NIT,National Institute of Technology Raipur,Mining Engineering,OS,52960,17523,,
395,NIT,"National Institute of Technology, Andhra Pradesh",Bio Technology,OS,53191,17956,852,
396,NIT,National Institute of Technology Raipur,Bio Technology,OS,53379,17602,,
397,GFTI,"Puducherry Technological University, Puducherry",Electronics and Instrumentation Engineering,AI,53416,19590,,3326
398,NIT,National Institute of Technology Durgapur,Chemistry,OS,53419,18250,,
399,NIT,"National Institute of Technology, Srinagar",Chemical Engineering,OS,53917,17509,1314,3088
400,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Computer Science and Engineering,AI,54226,20545,1747,2132
401,GFTI,Shri G. S. Institute of Technology and Science Indore,Mechanical Engineering,AI,55093,,,
402,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Civil Engineering,AI,55191,19224,1770,3090
403,NIT,National Institute of Technology Raipur,Bio Medical Engineering,OS,55223,18462,1080,2608
404,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Mining Engineering,OS,55315,18060,,
405,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Electrical Engineering,AI,55482,21574,1739,2776
406,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemistry,OS,55715,19371,1600,2386
407,GFTI,Shri G. S. Institute of Technology and Science Indore,Civil Engineering,AI,55931,,,
408,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics),AI,56492,21812,,
409,NIT,"National Institute of Technology, Srinagar",Civil Engineering,OS,56689,18187,1936,3204
410,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Physics,AI,56858,20632,,
411,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Production and Industrial Engineering,AI,57116,20633,1618,3850
412,GFTI,"Puducherry Technological University, Puducherry",Electrical and Electronics Engineering,AI,57217,18876,,
413,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Bio Technology,AI,57244,20055,,3221
414,NIT,"National Institute of Technology, Srinagar",Metallurgical and Materials Engineering,OS,57306,18807,1510,2507
415,GFTI,"Birla Institute of Technology, Patna Off-Campus",Mathematics and Computing,AI,57842,23106,,
416,GFTI,"Puducherry Technological University, Puducherry",Electronics and Communication Engineering,AI,57898,20743,1261,2041
417,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electronics and Communication Engineering,AI,58077,21567,1521,3900
418,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronic Engineering,AI,58243,21959,1689,3610
419,GFTI,Central University of Haryana,Computer Science and Engineering,AI,58528,21454,,4202
420,GFTI,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",Chemical Engineering,AI,59137,22053,1754,2846
421,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,AI,59237,21442,1636,2277
422,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Electronics and Communication Engineering,AI,59436,21536,1087,2271
423,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronics System Engineering,AI,59675,20835,,2407
424,GFTI,"Puducherry Technological University, Puducherry",Chemical Engineering,AI,59691,20450,1716,
425,GFTI,"Central University of Rajasthan, Rajasthan",Electronics and Communication Engineering,AI,59833,21551,,2981
426,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Food Engineering  and Technology,AI,60252,21443,,3005
427,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology )",AI,60700,23667,1177,2407
428,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Mechanical Engineering,AI,62546,24043,,3267
429,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electronics and Communication Engineering,AI,63072,22039,1588,2432
430,GFTI,"Puducherry Technological University, Puducherry",Mechatronics Engineering,AI,63187,22786,1120,
431,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",Computer Science and Engineering,AI,63949,23908,727,862
432,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electrical and Electronics Engineering,AI,63970,23523,1577,3142
433,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Electronics & Communication Engineering (Rail Engineering),AI,64532,24867,,
434,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electrical and Electronics Engineering,AI,65143,24152,1435,2943
435,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Computer Science and Engineering,AI,65360,23703,1738,2624
436,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Mechanical Engineering,AI,65709,23891,,3204
437,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",Computer Science and Engineering with minor in AI and ML,AI,65778,24352,1712,2392
438,GFTI,Sant Longowal Institute of Engineering and Technology,Artificial Intelligence and Data Science,AI,66031,24295,,2095
439,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Computer Science and Engineering,AI,66116,23753,1520,2663
440,GFTI,Sant Longowal Institute of Engineering and Technology,Electronics and Communication Engineering,AI,66243,24007,,2918
441,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Artificial Intelligence),AI,66592,24537,1810,1580
442,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Aerospace Engineering,AI,66956,27177,,3087
443,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Data Science),AI,67345,24802,1491,3246
444,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Aviation Engineering,AI,67398,29046,,
445,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Computer Science and Engineering,AI,67933,24611,,2830
446,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",B.Tech in Mathematics and Computing,AI,69306,26016,,2723
447,GFTI,Shri G. S. Institute of Technology and Science Indore,Biomedical Engineering,AI,69348,,,
448,GFTI,University of Hyderabad,Materials Engineering,AI,69838,24870,1036,946
449,GFTI,Shri G. S. Institute of Technology and Science Indore,Industrial and Production Engineering,AI,71193,,,
450,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,AI,71482,25148,,4054
451,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Computer Science and Engineering,AI,72560,26368,1784,3609
452,GFTI,"Puducherry Technological University, Puducherry",Mechanical Engineering,AI,72610,24871,1667,
453,GFTI,"Birla Institute of Technology, Patna Off-Campus",Mechanical Engineering,AI,72666,26696,1607,3071
454,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Mechanical Engineering,AI,72874,25791,1517,3294
455,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Civil Engineering,AI,72881,25523,1425,3089
456,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Electrical Engineering ( Rail  Engineering),AI,72946,27615,,
457,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics,AI,72993,27307,,3975
458,GFTI,Central University of Jammu,Computer Science and Engineering,AI,73050,25896,1474,3692
459,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Robotics and AI,AI,74007,26739,,3674
460,GFTI,CU Jharkhand,Computer Science and Engineering,AI,74114,25509,,
461,GFTI,Central University of Jammu,Computer Science and Engineering with specialization in Cyber Security,AI,75791,27150,1548,3122
462,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Mechanical Engineering ( Rail  Engineering),AI,76419,29550,,
463,GFTI,"Birla Institute of Technology, Patna Off-Campus",Civil Engineering,AI,76637,28811,,3889
464,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Electronics and Communication Engineering (Avionics),AI,76802,28582,1779,4182
465,GFTI,Sant Longowal Institute of Engineering and Technology,Electrical Engineering,AI,77189,26723,,3560
466,GFTI,Central University of Haryana,Electrical Engineering,AI,77771,28802,1713,2989
467,GFTI,Sant Longowal Institute of Engineering and Technology,Physics,AI,77941,37052,,
468,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Aeronautical Engineering,AI,77992,30437,,
469,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Information Technology,AI,78476,27916,1717,2863
470,GFTI,"Central University of Rajasthan, Rajasthan",Bio Medical Engineering,AI,78678,31149,,2982
471,GFTI,Central University of Jammu,Electronics and Communication Engineering (Avionics),AI,78680,30442,,
472,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Metallurgy and Materials Engineering,AI,79157,31546,1647,3698
473,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Computer Science & Engineering,AI,79221,29829,,3578
474,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electronics and Communication Engineering,AI,81193,28719,1891,3866
475,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Electronics and Communication Engineering,AI,81654,29355,,
476,GFTI,"Puducherry Technological University, Puducherry",Civil Engineering,AI,81737,28948,1666,3366
477,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Electronics and Communication Engineering,AI,81819,30413,,
478,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Production and Industrial Engineering,AI,81850,31885,1891,3427
479,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Artificial Intelligence and Data Science,AI,81910,28272,1814,3674
480,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electrical Engineering,AI,83117,30804,1274,3906
481,GFTI,Central University of Jammu,Electronics and Communication Engineering,AI,84500,29949,1688,4246
482,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electronics and Communication Engineering,AI,84508,30398,1663,3795
483,GFTI,CU Jharkhand,Electrical Engineering,AI,85150,30067,,
484,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Electrical Engineering,AI,85525,30690,,4293
485,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Bio Technology,AI,85900,34440,,
486,GFTI,Sant Longowal Institute of Engineering and Technology,Mathematics,AI,85902,36292,,
487,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Civil Engineering (Rail Engineering),AI,88002,32866,,
488,GFTI,Central University of Haryana,Civil Engineering,AI,89863,33925,,
489,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Mechanical Engineering,AI,90382,31672,,4296
490,GFTI,Sant Longowal Institute of Engineering and Technology,Electrical Engineering,AI,90963,33452,,
491,GFTI,CU Jharkhand,Civil Engineering,AI,91069,31755,,
492,GFTI,Central University of Jammu,Mathematics and Computing,AI,91635,34042,,
493,GFTI,Sant Longowal Institute of Engineering and Technology,Chemical Engineering,AI,92240,34031,,
494,GFTI,Sant Longowal Institute of Engineering and Technology,Civil Engineering,AI,92270,33528,,
495,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Electrical Engineering,AI,92728,36796,,4335
496,GFTI,Sant Longowal Institute of Engineering and Technology,Instrumentation and Control Engineering,AI,92813,34623,,
497,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electrical Engineering,AI,93844,32874,,3082
498,GFTI,Sant Longowal Institute of Engineering and Technology,Mechanical Engineering,AI,94237,34525,,
499,GFTI,Sant Longowal Institute of Engineering and Technology,Chemistry,AI,94950,37043,,
500,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Animation and VFX,AI,95386,34847,,1628
501,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Civil Engineering,AI,95561,33000,,
502,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Chemical Engineering,AI,96627,35458,,3549
503,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Mechanical Engineering,AI,96651,34376,,
504,GFTI,Central University of Haryana,Printing and Packaging Technology,AI,96768,35072,,3584
505,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Mechanical Engineering,AI,97972,35316,,3984
506,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Civil Engineering,AI,99003,35032,,
507,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",Food Technology,AI,100147,36590,1228,2651
508,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Civil Engineering,AI,101822,36860,,3095
509,GFTI,Sant Longowal Institute of Engineering and Technology,Mechanical Engineering,AI,102094,36575,,
510,GFTI,CU Jharkhand,Metallurgical and Materials Engineering,AI,105884,38934,,
511,GFTI,"Indian Institute of Handloom Technology(IIHT), Varanasi",Handloom and Textile Technology,AI,106042,37001,1850,3514
512,GFTI,"Indian Institute of Handloom Technology, Salem",Handloom and Textile Technology,AI,106441,36628,1644,3478
513,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Industrial and Production Engineering,AI,108943,37468,,
514,GFTI,"Indian Institute of Carpet Technology, Bhadohi",Carpet  and Textile Technology,AI,110109,36946,,
515,GFTI,Sant Longowal Institute of Engineering and Technology,Food Technology,AI,110531,37944,,4287
516,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Kundli",Food Technology and Management,AI,110765,38043,,3467
517,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Civil Engineering,AI,110858,38628,,3562
518,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Fashion and Apparel Engineering,AI,111179,37804,,
519,GFTI,CU Jharkhand,Integrated B. Tech.- M. Tech in Metallurgical & Materials Engineering,AI,111567,39002,1461,
520,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Dairy Engineering,AI,112203,37955,,
521,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Food Engineering  and Technology,AI,114323,38538,,
